Entity;Code;Year;Cantril ladder score;;Life satisfaction
Afghanistan;AFG;2018;32033;;14209593
Albania;ALB;2018;47186;;13317093
Algeria;DZA;2018;52113;;11630.68
Argentina;ARG;2018;60863;;22747242
Armenia;ARM;2018;45594;;12715109
Australia;AUS;2018;7228;;49029105
Austria;AUT;2018;7246;;55258.37
Azerbaijan;AZE;2018;52077;;14209593
Bahrain;BHR;2018;61994;;46389266
Bangladesh;BGD;2018;44558;;4440856
Belarus;BLR;2018;53225;;18974.7
Belgium;BEL;2018;6923;;16545999
Benin;BEN;2018;48832;;98222.84
Bhutan;BTN;2018;50821;;35133832
Bolivia;BOL;2018;57793;;31159023
Bosnia and Herzegovina;BIH;2018;53865;;37984133
Botswana;BWA;2018;34884;;26976465
Brazil;BRA;2018;62998;;11295315
Bulgaria;BGR;2018;5011;;13875936
Burkina Faso;BFA;2018;45868;;6072748
Burundi;BDI;2018;37753;;41965.89
Cambodia;KHM;2018;46998;;40256953
Cameroon;CMR;2018;50437;;12860321
Canada;CAN;2018;72781;;3888701
Central African Republic;CAF;2018;3083;;43697617
Chad;TCD;2018;43495;;19005654
Chile;CHL;2018;6444;;52349293
China;CHN;2018;51909;;70597.29
Colombia;COL;2018;61248;;34153223
Comoros;COM;2018;39728;;25902012
Congo;COG;2018;48115;;18095736
Costa Rica;CRI;2018;71674;;20613342
Cote d'Ivoire;CIV;2018;49438;;64112896
Croatia;HRV;2018;54318;;26250373
Cyprus;CYP;2018;60458;;11385366
Czechia;CZE;2018;68521;;28318436
Democratic Republic of Congo;COD;2018;44181;;14845345
Denmark;DNK;2018;76001;;28160889
Dominican Republic;DOM;2018;54253;;39455637
Ecuador;ECU;2018;60276;;21247922
